Date,n_tx
2018-06-23,163295.0
2018-06-26,195404.0
2018-06-29,197881.0
2018-07-02,199294.0
2018-07-05,199600.0
2018-07-08,155685.0
2018-07-11,202603.0
2018-07-14,176475.0
2018-07-17,233966.0
2018-07-20,225529.0
2018-07-23,229480.0
2018-07-26,231679.0
2018-07-29,168407.0
2018-08-01,241044.0
2018-08-04,191657.0
2018-08-07,233045.0
2018-08-10,226148.0
2018-08-13,222229.0
2018-08-16,232335.0
2018-08-19,167400.0
2018-08-22,230333.0
2018-08-25,196420.0
2018-08-28,238039.0
2018-08-31,237076.0
2018-09-03,222897.0
2018-09-06,252261.0
2018-09-09,188912.0
2018-09-12,233275.0
2018-09-15,211071.0
2018-09-18,244259.0
2018-09-21,273051.0
2018-09-24,237670.0
2018-09-27,248686.0
2018-09-30,208210.0
2018-10-03,242303.0
