Date,n_tx
2018-02-17,173789.0
2018-02-20,198455.0
2018-02-23,185193.0
2018-02-26,186474.0
2018-03-01,233744.0
2018-03-04,160231.0
2018-03-07,213978.0
2018-03-10,156228.0
2018-03-13,196140.0
2018-03-16,186979.0
2018-03-19,191528.0
2018-03-22,185187.0
2018-03-25,135274.0
2018-03-28,177521.0
2018-03-31,148617.0
2018-04-03,198919.0
2018-04-06,172889.0
2018-04-09,176563.0
2018-04-12,210879.0
2018-04-15,174031.0
2018-04-18,200740.0
2018-04-21,193975.0
2018-04-24,254493.0
2018-04-27,211119.0
2018-04-30,215107.0
2018-05-03,228521.0
2018-05-06,171761.0
2018-05-09,206579.0
2018-05-12,182054.0
2018-05-15,214779.0
2018-05-18,211496.0
2018-05-21,202647.0
2018-05-24,206825.0
2018-05-27,144304.0
2018-05-30,204077.0
2018-06-02,174497.0
2018-06-05,212901.0
2018-06-08,200379.0
2018-06-11,213196.0
2018-06-14,210029.0
2018-06-17,144908.0
2018-06-20,198889.0
2018-06-23,163295.0
2018-06-26,195404.0
2018-06-29,197881.0
2018-07-02,199294.0
2018-07-05,199600.0
2018-07-08,155685.0
2018-07-11,202603.0
2018-07-14,176475.0
2018-07-17,233966.0
2018-07-20,225529.0
2018-07-23,229480.0
2018-07-26,231679.0
2018-07-29,168407.0
2018-08-01,241044.0
2018-08-04,191657.0
2018-08-07,233045.0
2018-08-10,226148.0
2018-08-13,222229.0
2018-08-16,232335.0
2018-08-19,167400.0
2018-08-22,230333.0
2018-08-25,196420.0
2018-08-28,238039.0
2018-08-31,237076.0
2018-09-03,222897.0
2018-09-06,252261.0
2018-09-09,188912.0
2018-09-12,233275.0
2018-09-15,211071.0
2018-09-18,244259.0
2018-09-21,273051.0
2018-09-24,237670.0
2018-09-27,248686.0
2018-09-30,208210.0
2018-10-03,242303.0
2018-10-06,214843.0
2018-10-09,235862.0
2018-10-12,243174.0
2018-10-15,266945.0
2018-10-18,253450.0
2018-10-21,211505.0
2018-10-24,254091.0
2018-10-27,233749.0
2018-10-30,283327.0
2018-11-02,292704.0
2018-11-05,293239.0
2018-11-08,277597.0
2018-11-11,246991.0
2018-11-14,292755.0
2018-11-17,262649.0
2018-11-20,288450.0
2018-11-23,275261.0
2018-11-26,257062.0
2018-11-29,246226.0
2018-12-02,222673.0
2018-12-05,256501.0
2018-12-08,231104.0
2018-12-11,251487.0
2018-12-14,275801.0
2018-12-17,298823.0
2018-12-20,287273.0
2018-12-23,250739.0
2018-12-26,281305.0
2018-12-29,264980.0
2019-01-01,234725.0
2019-01-04,281772.0
2019-01-07,284782.0
2019-01-10,327338.0
2019-01-13,276997.0
2019-01-16,305702.0
2019-01-19,282188.0
2019-01-22,296040.0
2019-01-25,301085.0
2019-01-28,308062.0
2019-01-31,353945.0
2019-02-03,300171.0
2019-02-06,349596.0
2019-02-09,310892.0
2019-02-12,271573.0
2019-02-15,296729.0
2019-02-18,344274.0
2019-02-21,297595.0
2019-02-24,320446.0
2019-02-27,344560.0
2019-03-02,335864.0
2019-03-05,285716.0
2019-03-08,285264.0
2019-03-11,294741.0
2019-03-14,299929.0
2019-03-17,227290.0
2019-03-20,304960.0
2019-03-23,251573.0
2019-03-26,366415.0
2019-03-29,369817.0
2019-04-01,368904.0
2019-04-04,354660.0
2019-04-07,350631.0
